OTU ID	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	N01	N02	N03	N04	N05	N06	N07	N08	N10	N11	N12	N13	N14	N15	N16	taxonomy
9a9b89a6eb2b3a9212bdba9f3434b6cc	0.0	0.0	0.0	0.0	134.0	94.0	131.0	186.0	328.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
17d5a49452a6ccbe4473c55b3f818efc	82.0	67.0	63.0	105.0	155.0	107.0	95.0	43.0	59.0	92.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
a413e106591be418ca9ad70a479ea879	229.0	31.0	278.0	59.0	0.0	0.0	0.0	0.0	0.0	268.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
24fd7a573f5909dd9b39c67f622c324d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	859.0	Unassigned
884ac3b675dc43d00481072c10544882	99.0	37.0	147.0	0.0	0.0	247.0	155.0	0.0	0.0	170.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
9e26d138a3890613587abedfa84cb4ba	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	249.0	0.0	0.0	252.0	0.0	0.0	0.0	330.0	0.0	0.0	0.0	0.0	Unassigned
42e1316d4b80dd529d81a6cc4107cd53	140.0	196.0	167.0	200.0	0.0	0.0	0.0	0.0	23.0	123.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
bb592cffa8bb7a940db3283d3db0f7be	155.0	85.0	223.0	233.0	0.0	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
63b0272bbcb6e802570516c85a23c287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	839.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
7f61ff35c76dfcb482c3533b241cd747	0.0	0.0	0.0	0.0	163.0	0.0	0.0	349.0	326.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
3a5905e41d8db41ee90ba19a57ac0cf6	0.0	0.0	0.0	0.0	283.0	144.0	187.0	124.0	94.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
1a3c2911ee517b29b278267f33430237	66.0	601.0	73.0	16.0	0.0	0.0	0.0	0.0	0.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
19eedde912646975442d14e0d11029cf	108.0	248.0	155.0	168.0	0.0	0.0	0.0	0.0	0.0	150.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
290f31792eee70a33832429ff94bfaec	56.0	139.0	65.0	96.0	31.0	108.0	102.0	75.0	58.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
